distance_m,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
475.0,7.2363,7.3076,7.3433,7.2184,7.3725,7.3429,7.2644,7.2583,7.5895,7.5129,7.3352,7.4087,7.2408,7.2918,7.261,7.3371,7.2491,7.2849,7.3198,7.423,7.3394,7.2966,7.3939,7.2139,7.2348,7.1491,7.5537,7.3435,7.4602,7.3576,7.4231,7.3922,7.4213,7.4859,7.3306,7.5938,7.4263,7.3148,7.222,7.2598,7.4165,7.2391,7.1235,7.1895,7.1861,7.1289,7.3033,7.3549,7.4149,7.3011,7.2098,7.1592,7.3391,7.3422,7.2903,7.6601,7.4087,7.3306,7.4067,7.3596,7.2114,7.386,7.4998,7.1596,7.2477,7.3177,7.2062,7.3196,7.4225,7.4254,7.3413,7.2929,7.3429,7.1988,7.6562,7.6044,7.3299,7.2593,7.3995,7.5185,7.4012,7.4113,7.303,7.2646,7.3267,7.6193,7.477,7.5526
500.0,7.8058,7.8876,7.9298,7.7753,7.9233,7.8881,7.8153,7.7967,8.3368,8.0874,7.8935,8.0002,7.867,7.8673,7.8485,7.9131,7.8224,7.8793,7.8901,7.97,7.8888,7.8487,7.9819,7.7746,7.7893,7.6902,8.1198,7.9004,8.033,7.9219,8.0149,7.9791,8.0002,8.0688,7.9033,8.223,8.1197,7.9111,7.9146,7.8339,7.9847,7.8088,7.6806,7.7615,7.7594,7.7067,7.9265,7.9737,8.0276,7.8985,7.8079,7.7586,7.8988,7.9056,7.9227,8.2786,8.0157,7.9096,7.9926,7.9317,7.7768,7.9728,8.1314,7.7376,7.8322,7.8806,7.7817,7.8874,8.0119,7.9923,7.9388,7.859,7.9126,7.7581,8.4497,8.2252,7.9315,7.8366,7.9637,8.0975,7.9742,8.0263,7.8954,7.8714,7.9134,8.1961,8.0479,8.1319
504.1,7.9045,7.9995,8.0379,7.872,8.0201,7.9847,7.9136,7.8957,8.4563,8.1867,7.9921,8.1045,7.9695,7.9679,7.9483,8.0249,7.9168,7.9779,7.9986,8.079,7.9863,7.9552,8.0939,7.8803,7.8987,7.7982,8.2192,7.9949,8.1439,8.0225,8.1243,8.0843,8.1047,8.175,8.0038,8.3412,8.2413,8.0228,8.0496,7.9351,8.0834,7.9084,7.7836,7.8639,7.8613,7.8103,8.0317,8.0861,8.1367,8.0067,7.9175,7.872,8.0006,8.0043,8.0492,8.3985,8.1214,8.0152,8.0992,8.0353,7.8768,8.0838,8.253,7.8336,7.9341,7.9745,7.88,7.9928,8.1175,8.0984,8.0504,7.9571,8.021,7.855,8.5694,8.3462,8.0486,7.9339,8.0602,8.2073,8.0813,8.1423,7.9975,7.9715,8.0202,8.3004,8.1511,8.2422
525.0,8.5147,8.6395,8.6504,8.4718,8.5821,8.5604,8.5378,8.5191,9.1059,8.8393,8.6212,8.7612,8.5493,8.5752,8.5735,8.6686,8.4801,8.6168,8.6438,8.7946,8.5735,8.5946,8.7651,8.5267,8.5356,8.4448,8.8667,8.604,8.7897,8.6036,8.7482,8.7551,8.7379,8.8207,8.625,9.0622,8.9498,8.6864,8.7481,8.5234,8.6858,8.524,8.3296,8.4775,8.4818,8.4692,8.6823,8.7548,8.7756,8.6629,8.558,8.5324,8.6079,8.5885,8.7099,9.0931,8.758,8.6388,8.7233,8.6838,8.4574,8.7212,8.9699,8.4077,8.5579,8.5355,8.4653,8.6182,8.7826,8.7669,8.7039,8.593,8.6784,8.4789,9.2052,9.0651,8.7058,8.4848,8.624,8.8655,8.707,8.8101,8.6004,8.5652,8.6295,8.9633,8.7462,8.9275
550.0,9.4422,9.5739,9.5798,9.3632,9.4887,9.4611,9.443,9.4676,10.0285,9.7969,9.5412,9.6973,9.4325,9.4738,9.464,9.6143,9.3908,9.5627,9.5707,9.8357,9.5008,9.5339,9.7543,9.4983,9.4946,9.4066,9.7927,9.5816,9.693,9.5026,9.6402,9.8147,9.6735,9.809,9.556,10.0505,9.964,9.6514,9.7295,9.4056,9.6509,9.4737,9.2084,9.4548,9.4038,9.4569,9.6162,9.7081,9.696,9.5959,9.4686,9.4849,9.4803,9.4525,9.5807,10.0538,9.6657,9.528,9.6579,9.6682,9.3385,9.6821,9.9431,9.3257,9.4837,9.427,9.3685,9.5688,9.7843,9.7605,9.6552,9.5618,9.6469,9.4251,10.1681,10.0758,9.6339,9.3271,9.519,9.8476,9.6159,9.7334,9.5071,9.4497,9.5834,9.9391,9.7001,9.9206
575.0,10.3914,10.5678,10.6192,10.3417,10.4806,10.4766,10.4411,10.436,11.0057,10.7708,10.4804,10.6561,10.4333,10.4431,10.4225,10.5991,10.388,10.5157,10.5168,10.782,10.4934,10.4877,10.6974,10.471,10.4982,10.3551,10.7725,10.5676,10.6457,10.506,10.6174,10.774,10.6523,10.7879,10.5289,10.9466,10.9232,10.5985,10.6358,10.4554,10.6446,10.4874,10.2353,10.4534,10.3841,10.4322,10.5894,10.7299,10.6781,10.5642,10.4371,10.4447,10.4257,10.4129,10.532,10.9255,10.616,10.4591,10.6483,10.6498,10.3426,10.6661,10.8577,10.3587,10.5037,10.4075,10.3968,10.5247,10.74,10.7088,10.5649,10.4955,10.5698,10.3676,11.2336,10.9831,10.6064,10.3881,10.5446,10.8461,10.5912,10.6773,10.5051,10.4415,10.6133,10.9189,10.7254,10.8288
600.0,11.2193,11.3695,11.4432,11.203,11.2738,11.3026,11.2625,11.1975,11.8228,11.5278,11.2523,11.4069,11.2944,11.2679,11.2523,11.3701,11.1968,11.2691,11.2546,11.5323,11.315,11.269,11.4271,11.248,11.2926,11.1394,11.5628,11.3719,11.4239,11.312,11.4022,11.5235,11.4333,11.5451,11.3373,11.656,11.6843,11.3475,11.3319,11.3693,11.4182,11.3064,11.0948,11.2512,11.1853,11.226,11.3756,11.469,11.4645,11.3528,11.1897,11.1786,11.1538,11.2313,11.3268,11.61,11.3901,11.2283,11.4089,11.382,11.1915,11.458,11.585,11.1598,11.3059,11.1949,11.2009,11.2508,11.4902,11.4471,11.3118,11.2155,11.2993,11.1149,12.0929,11.6993,11.4009,11.2657,11.3789,11.6474,11.3666,11.455,11.3209,11.2897,11.4435,11.6818,11.5185,11.5883
611.9,11.5438,11.6961,11.7732,11.5406,11.5815,11.6068,11.574,11.4917,12.1368,11.8269,11.569,11.703,11.6266,11.6044,11.5762,11.6624,11.5068,11.5656,11.5497,11.8279,11.6379,11.5786,11.7086,11.5538,11.5968,11.4443,11.8711,11.6825,11.721,11.629,11.7203,11.8241,11.7406,11.8421,11.6536,11.9384,11.9815,11.6358,11.6125,11.7265,11.7301,11.6158,11.4489,11.5546,11.498,11.5426,11.6807,11.7756,11.7843,11.6607,11.4942,11.4627,11.4775,11.5768,11.6502,11.8859,11.7006,11.524,11.7158,11.6692,11.527,11.7509,11.8693,11.4832,11.6217,11.498,11.5104,11.5423,11.7822,11.7485,11.6073,11.5255,11.5862,11.4063,12.4238,12.0217,11.7169,11.6044,11.7082,11.9685,11.6702,11.7555,11.6442,11.6177,11.7709,11.9874,11.8346,11.8858
625.0,11.8839,12.0156,12.1062,11.8684,11.8923,11.8946,11.8868,11.7988,12.4583,12.1502,11.8958,12.0039,11.9564,11.909,11.8862,11.9597,11.8105,11.8616,11.8411,12.1149,11.9653,11.8872,11.9946,11.854,11.9183,11.7422,12.1818,11.9837,12.0207,11.9391,12.0181,12.12,12.0459,12.1436,11.9658,12.2227,12.2745,11.9322,11.9049,12.0518,12.0381,11.9227,11.774,11.8297,11.8121,11.8472,11.9905,12.0801,12.1086,11.9668,11.8045,11.7623,11.8081,11.8992,11.9685,12.1697,12.0115,11.8302,12.0189,11.9663,11.857,12.0428,12.156,11.7944,11.9451,11.7945,11.8096,11.8443,12.0798,12.0462,11.8978,11.8156,11.8815,11.694,12.7625,12.3261,12.0344,11.9416,12.0395,12.2814,11.9664,12.0509,11.9605,11.9362,12.0789,12.2928,12.1464,12.1937
650.0,12.4579,12.5377,12.6599,12.4342,12.4254,12.3872,12.3954,12.3253,12.9828,12.6684,12.4277,12.5249,12.5245,12.3735,12.4169,12.4733,12.3323,12.3778,12.3503,12.6273,12.5067,12.3976,12.4713,12.3614,12.4328,12.25,12.703,12.5078,12.532,12.4652,12.5374,12.6408,12.5617,12.665,12.4876,12.7124,12.7826,12.4378,12.407,12.5862,12.5555,12.4438,12.3236,12.2898,12.3349,12.3631,12.5073,12.5936,12.6251,12.4761,12.323,12.2778,12.3808,12.4322,12.5034,12.657,12.5369,12.3512,12.5463,12.4875,12.3949,12.5431,12.6532,12.3222,12.5005,12.3218,12.3171,12.3451,12.5893,12.5503,12.407,12.316,12.3789,12.2032,13.3007,12.8358,12.5612,12.4984,12.5906,12.7993,12.4836,12.5801,12.4928,12.4889,12.6182,12.8102,12.6722,12.6987
