formation_days,entry_z,max_pairs,cost_bps_per_side,is_default,n_oos_days,gross_sharpe,gross_ann_return,net_sharpe,net_ann_return,net_ann_vol,net_max_drawdown,ann_turnover,net_cumulative
126,2.5,50,5,False,4788,-0.25494268,-0.0021118022,-0.34821866,-0.0028669749,0.0081496853,-0.055592814,1.2652632,-0.053089556
126,2.5,50,10,False,4788,-0.25494268,-0.0021118022,-0.42636628,-0.0034975212,0.0081397245,-0.066597525,1.2652632,-0.064402003
126,2.5,50,20,False,4788,-0.25494268,-0.0021118022,-0.5825632,-0.0047574988,0.0081291905,-0.088385102,1.2652632,-0.086624483
252,1.5,5,0,False,4662,-0.20095716,-0.006980816,-0.22712648,-0.0078191204,0.032267921,-0.22546054,7.2216216,-0.13516992
252,1.5,5,1,False,4662,-0.20095716,-0.006980816,-0.24950165,-0.0085354253,0.032268571,-0.23211052,7.2216216,-0.14664797
252,1.5,5,2,False,4662,-0.20095716,-0.006980816,-0.27187074,-0.0092512347,0.032269834,-0.23870361,7.2216216,-0.15797403
252,1.5,5,5,False,4662,-0.20095716,-0.006980816,-0.33892882,-0.011395694,0.032277309,-0.25871157,7.2216216,-0.19106018
252,1.5,5,10,False,4662,-0.20095716,-0.006980816,-0.45045216,-0.014959913,0.032302034,-0.29565509,7.2216216,-0.24334616
252,1.5,5,20,False,4662,-0.20095716,-0.006980816,-0.67203501,-0.022051455,0.032397334,-0.36412562,7.2216216,-0.33801813
252,1.5,20,0,False,4662,-0.39461677,-0.0098733572,-0.42652432,-0.01064376,0.024390303,-0.1969822,6.7675676,-0.17960142
252,1.5,20,1,False,4662,-0.39461677,-0.0098733572,-0.45428932,-0.011313095,0.024389335,-0.20536987,6.7675676,-0.18980889
252,1.5,20,2,False,4662,-0.39461677,-0.0098733572,-0.48204928,-0.011981987,0.024388733,-0.21367006,6.7675676,-0.19988952
252,1.5,20,5,False,4662,-0.39461677,-0.0098733572,-0.56528643,-0.013986013,0.024389125,-0.23805483,6.7675676,-0.22938599
